id,s_fs_lev,level_description,s_fs_name_v
1,8.0,bachelor,Associates degree of spatial science (surveying major)
2,7.0,advanced diploma,Advanced Diploma of Screen and Media
3,3.0,certificate iii,Certificate 3 Visual Art
4,8.0,bachelor,Equine science
5,6.0,diploma,Diploma in Patisserie
6,1.0,certificate i,Transition education
7,6.0,diploma,Diploma in WHS
8,9.0,higher than a degree,"Masters of Early Childhood Education,  at another Insitution"
9,6.0,diploma,diploma of early childhood education
10,8.0,bachelor,Associate Degree in Information Technology
11,4.0,certificate iv,Certificate 4 in vet nursing
12,6.0,diploma,Diploma of Nursing
13,6.0,diploma,Builder
14,6.0,diploma,Diploma of software development
15,6.0,diploma,community services forensic statutory stream
16,4.0,certificate iv,Cert IV Agriculture
17,3.0,certificate iii,Individual support
18,3.0,certificate iii,Certificate iii cabinet making
19,6.0,diploma,Diploma of early childhood
20,5.0,vce or vcal,VCAL senior (year 12)
21,2.0,certificate ii,Electric technology
22,4.0,certificate iv,Certificate 4 in commercial cookery
23,3.0,certificate iii,MED 2  (Marine Engine Driver 2)
24,6.0,diploma,Diploma of business (enterprise)
25,4.0,certificate iv,Health and lifestyle
26,6.0,diploma,Diploma community services
27,6.0,diploma,Diploma of building and construction
28,6.0,diploma,Diploma in child care
29,3.0,certificate iii,Certificate III in Electrotechnology
30,2.0,certificate ii,Elevated work platform
31,6.0,diploma,Diploma of nursing
32,6.0,diploma,Diploma of laboratory techniques
33,8.0,bachelor,Bachelor of the built environment
34,1.0,certificate i,Certificate 1 in Initial Adult Literacy and Nmueracy
35,5.0,vce or vcal,No
36,7.0,advanced diploma,Advanced diploma of Justice.
37,7.0,advanced diploma,Advanced Diploma of Jewellery and Object  design
38,6.0,diploma,Practice Mananger
39,9.0,higher than a degree,Qualifications higher than a degree
40,6.0,diploma,Community service
41,9.0,higher than a degree,Bachelor of nursing
42,6.0,diploma,Diploma of Community Services
43,7.0,advanced diploma,Advanced Diploma of community sector management
44,6.0,diploma,Diploma in childcare
45,3.0,certificate iii,Certificate III Auslan
46,8.0,bachelor,Bachelor of human nutrition
47,6.0,diploma,Early year education & care
48,4.0,certificate iv,Mental Health
49,3.0,certificate iii,Cert 3 commercial cookery
50,6.0,diploma,"Diploma of Screen and Media, Specialised Makeup"
51,3.0,certificate iii,Certificate III in Science
52,3.0,certificate iii,Hairdressing
53,4.0,certificate iv,Veterinary nursing
54,6.0,diploma,Diploma in childhood education
55,4.0,certificate iv,Cert 4 in accounting and bookkeeping
56,4.0,certificate iv,youth work
57,8.0,bachelor,Bachelor of Biological Sciences
58,10.0,,The Ohio program
59,6.0,diploma,diploma of construction and building
60,4.0,certificate iv,Certificate 4 Allied Health
61,3.0,certificate iii,Certificate 3 in Automotive Technology
62,8.0,bachelor,BA in Music Industry -Performance & technical Production (RMIT Melbourne)
63,6.0,diploma,diploma in early childhood education and care
64,3.0,certificate iii,Electrotechnology
65,8.0,bachelor,BA in Professional Writing and Editing
66,4.0,certificate iv,Advance general English
67,6.0,diploma,Diploma
68,4.0,certificate iv,cert IV in education support
69,8.0,bachelor,Bachelors of Psychological Science
70,7.0,advanced diploma,Advanced diploma in workplace health and safety
71,6.0,diploma,Diploma of Leadership and Management
72,6.0,diploma,Diploma of early childhood education and care
73,5.0,vce or vcal,Certificate IV Community services
74,8.0,bachelor,Bachelor of Sports Science
75,4.0,certificate iv,Cert 4 in Engineering - Basic Welding
76,9.0,higher than a degree,"Master's of Media, Screen and Sound."
77,8.0,bachelor,Civil Engineering
78,8.0,bachelor,Bachelor of early education
79,6.0,diploma,Diploma of Auslan
80,4.0,certificate iv,Accounting & Bookkeeping
81,1.0,certificate i,Certificate 1 in General Education for Adult I   ( Introductory)
82,8.0,bachelor,Associate Degree in Engineering
83,4.0,certificate iv,Certificate iv in disability
84,1.0,certificate i,Cert1 CILAN Basic literacy &  numeracy
85,3.0,certificate iii,Cert III in ELECTRICAL
86,8.0,bachelor,Bachelor of Education (P-10)
87,2.0,certificate ii,Animal studies certificate 2
88,6.0,diploma,Diploma of Accounting
89,4.0,certificate iv,Cert 4 Disability
90,6.0,diploma,Diploma in Community Services
91,6.0,diploma,HLT51015 Diploma of Paramedical Science
92,2.0,certificate ii,Emergency Communications
93,8.0,bachelor,Bachelor of Arts
94,8.0,bachelor,Bachelor of Interior Design (Honours)
95,2.0,certificate ii,Certificate 2 in work education (sport)
96,4.0,certificate iv,certificate 4 in building and construction management
97,3.0,certificate iii,Community service
98,6.0,diploma,Diploma of laboratory technology
99,6.0,diploma,Diploma of Early Childhood Education and Care
100,8.0,bachelor,"Bachelor of electrical and electronics engineering, at RMIT"
101,6.0,diploma,Diploma of Nursing (ACU)
102,8.0,bachelor,Bachelor of nursing
103,8.0,bachelor,Bachelor of Information Technology
104,8.0,bachelor,Bachelor Of Information Technology
105,2.0,certificate ii,security
106,6.0,diploma,Diploma of Counselling
107,1.0,certificate i,Certificate 1 in EAL(Access)
108,3.0,certificate iii,Electrotechnology
109,2.0,certificate ii,Certificate II in Security Operations
110,3.0,certificate iii,Cert 3 in building and construction (carpentry)
111,6.0,diploma,Diploma in building & construction
112,3.0,certificate iii,An8mal technology cert3
113,4.0,certificate iv,Top up cless
114,3.0,certificate iii,light vehicle technology
115,9.0,higher than a degree,Bachelor of health science/applied science (chinese medicine) at rmit
116,8.0,bachelor,Bachelor of Early Years Learning
117,8.0,bachelor,bachelor in community services
118,4.0,certificate iv,Certificate 4 in youth work
119,7.0,advanced diploma,Advance diploma  of ECEC
120,7.0,advanced diploma,adv diploma building design
121,4.0,certificate iv,Tae iv
122,8.0,bachelor,Bachelor of Design (Architecture)
123,4.0,certificate iv,Certificate 4 in photography and imaging
124,6.0,diploma,diploma of early childhood education
125,4.0,certificate iv,Certificate IV in community services
126,4.0,certificate iv,Cert IV Extractive industries
127,4.0,certificate iv,Certificate 4 in spoken and written english- further studies
128,10.0,,Autodesk 1 Rivet  Cad course
129,8.0,bachelor,Exercise and sport science
130,4.0,certificate iv,Certificate 4 in education support at Victoria university.
131,7.0,advanced diploma,Advanced diploma of leadership and management
132,6.0,diploma,Diploma of Jewellery and Object Design
133,6.0,diploma,Diploma in Beauty
